Date of Purchase,Purchaser Name,Head Quarter City,Head Quarter State/ Province,Country,Denomination
08-Apr-22,14 REELS PLUS LLP,Hyderabad,Telangana,India,10000000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,1000000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,1000000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,1000000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,A B C INDIA LIMITED,Kolkata,West Bengal,India,100000
06-Jul-23,AALAYA CONSTRUCTIONS,Hyderabad,Telangana,India,10000000
11-Apr-23,AARISH SOLAR POWER PRIVATE LIMITED,Chennai,Tamil Nadu,India,10000000
11-Apr-23,AARISH SOLAR POWER PRIVATE LIMITED,Chennai,Tamil Nadu,India,10000000
08-Apr-22,AASHMAN ENERGY PRIVATE LIMITED,Chennai,Tamil Nadu,India,10000000
08-Apr-22,AASHMAN ENERGY PRIVATE LIMITED,Chennai,Tamil Nadu,India,10000000
11-Apr-23,AASHMAN ENERGY PRIVATE LIMITED,Chennai,Tamil Nadu,India,10000000
07-Oct-22,AAYTEE LOGISTICS PRIVATE LIMITED,Gurugram,Haryana,India,1000000
07-Oct-22,AAYTEE LOGISTICS PRIVATE LIMITED,Gurugram,Haryana,India,1000000
07-Oct-22,AAYTEE LOGISTICS PRIVATE LIMITED,Gurugram,Haryana,India,1000000
09-Apr-21,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
09-Apr-21,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
09-Apr-21,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
09-Apr-21,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
09-Apr-21,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
07-Apr-23,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
07-Apr-23,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
07-Apr-23,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
07-Apr-23,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
07-Apr-23,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,1000000
11-Oct-23,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,10000000
11-Oct-23,ABHIJIT INTERNATIONAL,Guwahati,Assam,India,10000000
09-Apr-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Apr-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Apr-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Apr-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Apr-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Apr-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
06-Jul-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
06-Jul-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
06-Jul-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
06-Jul-21,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
07-Oct-22,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
07-Oct-22,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
07-Oct-22,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
07-Oct-22,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
07-Oct-22,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
21-Jan-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
21-Jan-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
21-Jan-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
21-Jan-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
21-Jan-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
21-Jan-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
21-Jan-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
12-Jul-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
09-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
09-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
13-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
13-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
13-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
13-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
13-Oct-23,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,1000000
10-Jan-24,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
10-Jan-24,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
10-Jan-24,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
10-Jan-24,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
11-Jan-24,ABHINANDAN STOCK BROKING PVT LTD,Kolkata,West Bengal,India,10000000
18-Nov-23,ABIS AGROTECH PVT LTD,Rajnandgaon,Chhatisgarh,India,1000000
18-Nov-23,ABIS AGROTECH PVT LTD,Rajnandgaon,Chhatisgarh,India,1000000
18-Nov-23,ABIS AGROTECH PVT LTD,Rajnandgaon,Chhatisgarh,India,1000000
18-Nov-23,ABIS AGROTECH PVT LTD,Rajnandgaon,Chhatisgarh,India,1000000
18-Nov-23,ABIS AGROTECH PVT LTD,Rajnandgaon,Chhatisgarh,India,1000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
12-Dec-22,ABNL INVESTMENT LIMITED,Ahmedabad,Gujarat,India,10000000
17-Apr-19,ACE COMERCIAL COMPANY PRIVATE LIMITED,Bhubaneswar,Odisha,India,1000000
17-Apr-19,ACE COMERCIAL COMPANY PRIVATE LIMITED,Bhubaneswar,Odisha,India,100000
17-Apr-19,ACE COMERCIAL COMPANY PRIVATE LIMITED,Bhubaneswar,Odisha,India,100000
17-Apr-19,ACE COMERCIAL COMPANY PRIVATE LIMITED,Bhubaneswar,Odisha,India,1000000
17-Apr-19,ACE COMERCIAL COMPANY PRIVATE LIMITED,Bhubaneswar,Odisha,India,100000
17-Apr-19,ACE COMERCIAL COMPANY PRIVATE LIMITED,Bhubaneswar,Odisha,India,100000
17-Apr-19,ACE COMERCIAL COMPANY PRIVATE LIMITED,Bhubaneswar,Odisha,India,100000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
17-Nov-23,ACE URBAN DEVELOPERS PVT LTD,Hyderabad,Telangana,India,10000000
08-Apr-22,ACHINTYA SOLAR POWER PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
10-Oct-22,ACHINTYA SOLAR POWER PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
10-Oct-22,ACHINTYA SOLAR POWER PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
10-Oct-22,ACHINTYA SOLAR POWER PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
10-Oct-22,ACHINTYA SOLAR POWER PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,Kolkata,West Bengal,India,1000000
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,Kolkata,West Bengal,India,100000
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,Kolkata,West Bengal,India,1000000
20-Apr-19,ADIT BUILD WELL PVT LIMITED,New Delhi,Delhi,India,10000000
10-Jan-22,ADWITA FINVEST PRIVATE LIMITED,Kolkata,West Bengal,India,1000
20-Nov-23,AIC VMR PROJECTS PVT LTD,Hyderabad,Telangana,India,10000000
20-Nov-23,AIC VMR PROJECTS PVT LTD,Hyderabad,Telangana,India,10000000
06-May-19,AIS DISTRIBUTION,Gurugram,Haryana,India,1000000
06-May-19,AIS DISTRIBUTION,Gurugram,Haryana,India,1000000
06-May-19,AIS DISTRIBUTION,Gurugram,Haryana,India,10000000
06-May-19,AIS DISTRIBUTION,Gurugram,Haryana,India,1000000
06-May-19,AIS DISTRIBUTION,Gurugram,Haryana,India,1000000
06-May-19,AIS DISTRIBUTION,Gurugram,Haryana,India,1000000
06-May-19,AIS DISTRIBUTION,Gurugram,Haryana,India,10000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,10000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,10000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,10000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,10000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
18-Apr-19,AISHWARYA BUSINESS CORPORATION PVT LIMITED,Mumbai,Maharashtra,India,1000000
10-Oct-22,AJANTA PHARMA LTD,Mumbai,Maharashtra,India,10000000
10-Oct-22,AJANTA PHARMA LTD,Mumbai,Maharashtra,India,10000000
10-Oct-22,AJANTA PHARMA LTD,Mumbai,Maharashtra,India,10000000
14-Nov-22,AJANTA PHARMA LTD,Mumbai,Maharashtra,India,10000000
10-Jan-22,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,10000000
10-Jan-22,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,10000000
10-Jan-22,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,10000000
10-Jan-22,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,10000000
10-Jan-22,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,10000000
10-Apr-23,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,1000000
10-Apr-23,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,10000000
10-Apr-23,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,1000000
10-Apr-23,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,10000000
10-Apr-23,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,1000000
10-Apr-23,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,1000000
10-Apr-23,AJAY METALLOYS PVT LTD,New Delhi,Delhi,India,1000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
12-Apr-23,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),Mumbai,Maharashtra,India,10000000
11-Oct-23,AKSHAT GREENTECH PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
11-Oct-23,AKSHAT GREENTECH PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
11-Oct-23,AKSHAT GREENTECH PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
11-Oct-23,AKSHAT GREENTECH PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
11-Oct-23,AKSHAT GREENTECH PRIVATE LIMITED,Hyderabad,Telangana,India,10000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
14-Nov-22,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,10000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
25-Jan-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
05-Jul-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
05-Jul-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
05-Jul-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
05-Jul-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
05-Jul-23,ALEMBIC PHARMACEUTICALS,Vadodara,Gujarat,India,1000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
14-Nov-22,ALKEM LABORATORIES LIMITED,Mumbai,Maharashtra,India,10000000
09-Jul-19,ALLANA COLD STORAGE,Navi Mumbai,Maharashtra,India,10000000
09-Jul-19,ALLANA SONS PRIVATE LIMITED,Mumbai,Maharashtra,India,10000000
09-Jul-19,ALLANA SONS PRIVATE LIMITED,Mumbai,Maharashtra,India,10000000
09-Oct-19,ALLANA SONS PRIVATE LIMITED,Mumbai,Maharashtra,India,10000000
05-Jul-19,ALMIGHTY FINANCE AND INVESTMENT PRIVATE LIMITED,Kolkata,West Bengal,India,1000000
05-Jul-19,ALMIGHTY FINANCE AND INVESTMENT PRIVATE LIMITED,Kolkata,West Bengal,India,1000000
09-Jul-19,ALMIGHTY FINANCE AND INVESTMENT PRIVATE LIMITED,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
06-Jan-24,AMAR SECURITIES PVT LTD,Kolkata,West Bengal,India,1000000
