"Date of
Encashment",Name of the Political Party,Denomination
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,1000000
12-Apr-19,BHARAT RASHTRA SAMITHI,1000000
12-Apr-19,BHARAT RASHTRA SAMITHI,1000000
12-Apr-19,BHARAT RASHTRA SAMITHI,1000000
12-Apr-19,BHARAT RASHTRA SAMITHI,1000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
12-Apr-19,BHARAT RASHTRA SAMITHI,10000000
